,Date,UKPOUND_BID_SPOT,UKPOUND_ASK_SPOT
5733,30/09/2005,0.56557887,0.565770863
5754,31/10/2005,0.565259171,0.565450947
5776,30/11/2005,0.576900888,0.577100646
5798,30/12/2005,0.581902822,0.58210606
5820,31/01/2006,0.560098577,0.560286867
5840,28/02/2006,0.570125428,0.57032052
5863,31/03/2006,0.575175429,0.575373993
5883,28/04/2006,0.54866674,0.54884742
5906,31/05/2006,0.53361793,0.533788833
5928,30/06/2006,0.541154824,0.541330591
5949,31/07/2006,0.535160013,0.535331906
5972,31/08/2006,0.525458463,0.525624179
5993,29/09/2006,0.534130969,0.534302201
6015,31/10/2006,0.523916802,0.524026621
6037,30/11/2006,0.508001016,0.508104263
6058,29/12/2006,0.510594843,0.510699147
6081,31/01/2007,0.509761941,0.509865905
6101,28/02/2007,0.509865905,0.509969912
6123,30/03/2007,0.507923608,0.508026824
6144,30/04/2007,0.499950005,0.500050005
6167,31/05/2007,0.505127039,0.505229121
6188,29/06/2007,0.498107193,0.498206457
6210,31/07/2007,0.491400491,0.4914971
6233,31/08/2007,0.495564696,0.495662949
6253,28/09/2007,0.489739948,0.489835905
6276,31/10/2007,0.481069899,0.481162489
6298,30/11/2007,0.486286715,0.486381323
6319,31/12/2007,0.504210155,0.504311866
6342,31/01/2008,0.502512563,0.502613591
6363,29/02/2008,0.50347397,0.503575385
6384,31/03/2008,0.503905266,0.504006854
6406,30/04/2008,0.504133898,0.504235579
6428,30/05/2008,0.505203597,0.50530571
6449,30/06/2008,0.502361097,0.502462064
6472,31/07/2008,0.504617248,0.504719124
6493,29/08/2008,0.549239304,0.549359996
6515,30/09/2008,0.560098577,0.56022409
6538,31/10/2008,0.615384615,0.615536132
6558,28/11/2008,0.653381248,0.653552055
6581,31/12/2008,0.68310677,0.683293475
6603,30/01/2009,0.693096756,0.693288963
6623,27/02/2009,0.699251801,0.699447437
6645,31/03/2009,0.698714366,0.698909701
6667,30/04/2009,0.674399784,0.674581759
6688,29/05/2009,0.617817867,0.617970585
6710,30/06/2009,0.607164542,0.607312037
6733,31/07/2009,0.597978832,0.598121897
6754,31/08/2009,0.613045611,0.613195977
6776,30/09/2009,0.623908161,0.624063904
6798,30/10/2009,0.607718019,0.607865783
6819,30/11/2009,0.609124688,0.609273137
6842,31/12/2009,0.618658748,0.618811881
6863,29/01/2010,0.624648635,0.624804749
6883,26/02/2010,0.657289339,0.657462196
6906,31/03/2010,0.658111221,0.658284511
6928,30/04/2010,0.654321795,0.654493095
6949,31/05/2010,0.690417012,0.690607735
6971,30/06/2010,0.668493883,0.668672685
6993,30/07/2010,0.636739892,0.636902108
7015,31/08/2010,0.651890482,0.652060511
7037,30/09/2010,0.636496722,0.636658815
7058,29/10/2010,0.624180763,0.624336642
7080,30/11/2010,0.642219511,0.642384531
7103,31/12/2010,0.64008193,0.640245854
7124,31/01/2011,0.623402531,0.623558022
7144,28/02/2011,0.615081806,0.615233173
7167,31/03/2011,0.622393726,0.622548714
7188,29/04/2011,0.598587334,0.598730691
7210,31/05/2011,0.608531613,0.608679774
7232,30/06/2011,0.621542669,0.621697233
7253,29/07/2011,0.607828835,0.607976654
7276,31/08/2011,0.614363826,0.614514841
7298,30/09/2011,0.639549757,0.639713408
7319,31/10/2011,0.619962802,0.620116582
7341,30/11/2011,0.636334712,0.636496722
7363,30/12/2011,0.643915003,0.644080897
7385,31/01/2012,0.634517766,0.634678853
7406,29/02/2012,0.626644943,0.626802056
7428,30/03/2012,0.625156289,0.625312656
7449,30/04/2012,0.616104984,0.616256856
7472,31/05/2012,0.648424329,0.648592554
7493,29/06/2012,0.637755102,0.637917836
7515,31/07/2012,0.638121371,0.638284292
7538,31/08/2012,0.630199143,0.630358043
7558,28/09/2012,0.619156709,0.619310089
7581,31/10/2012,0.619847518,0.62000124
7603,30/11/2012,0.623908161,0.624063904
7624,31/12/2012,0.614703713,0.614854894
7647,31/01/2013,0.630238861,0.630397781
7667,28/02/2013,0.658457892,0.658631364
7688,29/03/2013,0.658978583,0.65915233
7710,30/04/2013,0.643459237,0.643624895
7733,31/05/2013,0.658718135,0.658891744
7753,28/06/2013,0.658284511,0.658457892
7776,31/07/2013,0.658457892,0.658631364
7798,30/08/2013,0.646078305,0.646245315
7819,30/09/2013,0.617703379,0.61785604
7842,31/10/2013,0.62289772,0.62305296
7863,29/11/2013,0.610873549,0.611022852
7885,31/12/2013,0.603573153,0.603718908
7908,31/01/2014,0.607828835,0.607976654
7928,28/02/2014,0.596587519,0.59672992
7949,31/03/2014,0.599592277,0.599736116
7971,30/04/2014,0.592452159,0.592592593
7993,30/05/2014,0.596516345,0.596658711
8014,30/06/2014,0.584624379,0.584761125
8037,31/07/2014,0.592206562,0.592346878
8058,29/08/2014,0.602990835,0.603136309
8080,30/09/2014,0.616788996,0.616941206
8103,31/10/2014,0.625,0.625156289
8123,28/11/2014,0.639427073,0.639590662
8146,31/12/2014,0.641560275,0.641724957
8168,30/01/2015,0.665114732,0.66529173
8188,27/02/2015,0.647668394,0.647836227
8210,31/03/2015,0.67335533,0.673536741
8232,30/04/2015,0.651678071,0.651847989
8253,29/05/2015,0.655093351,0.655265055
8275,30/06/2015,0.636213259,0.636375207
8298,31/07/2015,0.639549757,0.639713408
8319,31/08/2015,0.650533437,0.650702759
8341,30/09/2015,0.661069611,0.661244462
8363,30/10/2015,0.647249191,0.647416807
8384,30/11/2015,0.664584303,0.664761018
8407,31/12/2015,0.677966102,0.678150007
8428,29/01/2016,0.704423781,0.704622322
